"full_date","data.weather.maxtempC","data.weather.mintempC","data.weather.avgtempC","data.weather.sunHour","mean_humidity","mean_pressure","mean_WindGustKmph","mean_precipMM"
"2021-08-20","18","12","16","12.3",68,1012.25,28.625,0
"2021-08-21","20","11","16","12.3",70.25,1017.625,21.125,0
"2021-08-22","17","13","16","11.2",73.875,1017.875,19,0
"2021-08-23","22","14","19","14.3",65,1025.125,10.5,0
"2021-08-24","21","14","19","14.3",62.75,1026.5,12.125,0
"2021-08-25","21","15","19","10.0",71.875,1014,32.25,0.05
"2021-08-26","16","13","15","10.0",66.125,1015.375,33.875,0.0125
"2021-08-27","17","14","16","8.8",84.375,1017,41.625,0.3
"2021-08-28","19","14","17","8.8",82.25,1020.875,27.25,0.0875
"2021-08-29","20","15","18","8.8",86.375,1019.5,25.5,0.1
"2021-08-30","22","15","19","14.0",76.625,1020,22.5,0.0125
"2021-08-31","22","13","19","13.9",64.5,1021.625,15.25,0
"2021-09-01","23","14","20","13.9",61.625,1025.5,13.625,0
"2021-09-02","21","12","17","13.9",75.375,1024.875,11.875,0
"2021-09-03","24","13","20","13.8",70,1016.25,29.125,0
"2021-09-04","20","13","17","13.8",72.375,1021,19.25,0
"2021-09-05","20","13","18","13.7",63.375,1024.625,20.625,0
"2021-09-06","21","13","18","13.7",72.75,1022.625,16.25,0
"2021-09-07","23","13","19","13.2",77,1020.875,22.875,0
"2021-09-08","23","14","19","12.0",79.75,1018.75,20.25,0
"2021-09-09","23","15","20","13.1",72,1013.875,13,0
"2021-09-10","23","15","20","13.1",71.125,1012.375,10.75,0.0125
"2021-09-11","21","16","18","8.2",86.5,1011.75,15.25,0.15
"2021-09-12","19","15","18","9.4",82.875,1011.75,21.25,0.025
"2021-09-13","20","12","17","11.9",73.625,1014.375,14.125,0
"2021-09-14","19","13","17","11.9",79.375,1016.375,8.5,0
"2021-09-15","18","13","16","10.6",82.5,1014.875,16.75,0.5375
"2021-09-16","19","14","17","8.0",87.875,1008.75,18.5,0.1625
"2021-09-17","14","14","14","8.0",90.875,1012.875,27.25,0.375
"2021-09-18","16","13","16","10.6",79.75,1019.125,25.75,0.0625
"2021-09-19","15","12","13","11.9",66.5,1023.75,22.75,0
"2021-09-20","13","11","12","6.1",65.125,1024.75,20.875,0.0375
"2021-09-21","15","8","13","7.5",76.125,1024.625,21,0
"2021-09-22","21","9","16","11.6",78.125,1023.25,22.25,0
"2021-09-23","15","11","14","6.0",77.75,1005.5,47.125,0.0625
"2021-09-24","15","10","13","7.4",76,1005.375,41,0
"2021-09-25","18","11","15","11.6",76,1011.5,27.625,0
"2021-09-26","17","10","15","8.8",81.125,1018.125,16.375,0
"2021-09-27","17","14","16","6.0",91.625,1015.875,25.375,0.1375
"2021-09-28","16","10","13","8.8",77.125,1022.375,13.875,0.0375
"2021-09-29","15","9","13","7.2",77.375,1019,20.375,0.025
"2021-09-30","11","9","11","4.3",82.125,1010.875,42.625,0.25
"2021-10-01","13","9","11","4.2",85.375,1014.375,41,0.325
"2021-10-02","15","11","13","7.2",80.625,1010.625,22.625,0.15
"2021-10-03","17","12","15","4.2",82.5,1002.125,44.125,0.1125
"2021-10-04","14","10","12","7.2",83.75,1014.25,22.5,0.0125
"2021-10-05","14","11","13","7.2",87.5,1013.75,27,0.425
"2021-10-06","15","11","13","8.7",84.125,1012.125,14.375,0.0625
"2021-10-07","15","9","12","7.2",79.875,1026.875,8.625,0
"2021-10-08","15","10","13","8.7",78.375,1033.5,12.875,0
"2021-10-09","16","10","14","8.7",75.5,1034.375,16.75,0
"2021-10-10","13","8","11","7.2",67.125,1027,23.125,0
"2021-10-11","14","8","11","8.7",74.75,1017.5,31.875,0.0125
"2021-10-12","14","7","10","8.7",63.5,1013.625,24.625,0
"2021-10-13","11","5","9","8.7",65.375,1019.375,14.125,0
"2021-10-14","14","9","12","5.6",83.375,1012.75,26,0
"2021-10-15","13","9","11","8.7",70.125,1007.625,37.125,0.1125
"2021-10-16","12","7","10","5.6",69.875,1016,31.375,0
"2021-10-17","12","7","10","4.0",73.375,1014.75,21.5,0
"2021-10-18","12","9","10","7.1",75,1020.25,14.75,0
"2021-10-19","13","10","12","3.9",88.625,1016.5,30.25,0.0625
"2021-10-20","16","14","15","3.8",86.75,996.125,48.625,0.125
"2021-10-21","11","7","10","7.0",74.875,986.75,38.25,0.0375
"2021-10-22","9","7","8","7.0",68.25,1000.25,40,0.075
"2021-10-23","12","6","9","8.7",70,1017.25,31,0
"2021-10-24","14","7","11","8.7",78,1023.5,27.375,0
"2021-10-25","12","6","9","7.0",85.875,1015.75,27,0.025
"2021-10-26","13","8","11","8.7",84.375,1014.25,22.875,0
"2021-10-27","14","10","14","3.5",88.25,1012.5,35.75,0.025
"2021-10-28","18","11","15","8.7",81.875,1013.75,33.25,0
"2021-10-29","14","9","12","7.0",82,1009.75,26.375,0
"2021-10-30","14","11","12","6.9",83.375,1006.75,25.5,0
"2021-10-31","13","10","11","8.7",84.625,1003.125,32.625,0.0625
